iter	RMSE
0	41.27191648
1	40.95703329
2	40.68150407
3	40.40934228
4	40.15854727
5	39.95492187
6	39.74233896
7	39.51193861
8	39.31544468
9	39.09808073
10	38.93118881
11	38.78156333
12	38.60550091
13	38.43767055
14	38.31173291
15	38.14548709
16	38.03465304
17	37.88341191
18	37.75466577
19	37.62593616
20	37.51063105
21	37.47623244
22	37.34477248
23	37.22746096
24	37.12247951
25	37.00641759
26	36.89067707
27	36.79343196
28	36.70705735
29	36.61566743
30	36.52521335
31	36.43706161
32	36.36424707
33	36.28195704
34	36.21583942
35	36.16011327
36	36.0909819
37	36.04796161
38	36.02397477
39	35.95566871
40	35.91179755
41	35.84908652
42	35.8400943
43	35.79625207
44	35.73465403
45	35.71919858
46	35.68210902
47	35.63466019
48	35.57382434
49	35.54155874
50	35.50047972
51	35.4616785
52	35.40636773
53	35.35887847
54	35.32910158
55	35.28022491
56	35.23689174
57	35.20017014
58	35.15848668
59	35.12355007
60	35.08420463
61	35.05065349
62	35.00974683
63	34.97271861
64	34.96504425
65	34.92537368
66	34.89179878
67	34.85534598
68	34.81954732
69	34.77928079
70	34.74864398
71	34.73582541
72	34.70312628
73	34.68439028
74	34.68048652
75	34.66176313
76	34.64557292
77	34.61247374
78	34.58617732
79	34.57269992
80	34.56770946
81	34.5622633
82	34.55720347
83	34.53146926
84	34.52394539
85	34.49947949
86	34.49194592
87	34.47058053
88	34.46815636
89	34.45047517
90	34.42244979
91	34.40337847
92	34.39526899
93	34.37931296
94	34.35847312
95	34.33751169
96	34.31622133
97	34.31286064
98	34.30286433
99	34.29936321
100	34.27175446
101	34.24982516
102	34.23539713
103	34.21483054
104	34.19485184
105	34.18242047
106	34.1579842
107	34.14872882
108	34.12683344
109	34.10681642
110	34.09270039
111	34.07287863
112	34.06602871
113	34.05730097
114	34.04113773
115	34.02476942
116	34.00896627
117	34.00618949
118	33.99109195
119	33.9890699
120	33.97318697
121	33.96917563
122	33.96841732
123	33.94656439
124	33.94587512
125	33.93237646
126	33.90916511
127	33.89786308
128	33.88400287
129	33.87044215
130	33.86893536
131	33.84864016
132	33.82837042
133	33.81105604
134	33.79355315
135	33.78740279
136	33.77037856
137	33.74675324
138	33.73353914
139	33.71797555
140	33.70503003
141	33.68638167
142	33.66821388
143	33.66816865
144	33.66231623
145	33.65345526
146	33.6325388
147	33.61786295
148	33.60658927
149	33.59248903
150	33.59067203
151	33.58190893
152	33.56773617
153	33.55675555
154	33.53965511
155	33.53310504
156	33.52209945
157	33.51574102
158	33.50299368
159	33.49174475
160	33.48179645
161	33.4653141
162	33.46158066
163	33.44997736
164	33.43426129
165	33.43420092
166	33.42288037
167	33.42158719
168	33.40854673
169	33.4082229
170	33.39260419
171	33.37563024
172	33.35858247
173	33.34504146
174	33.34215587
175	33.34209131
176	33.33239584
177	33.32414834
178	33.32231087
179	33.31020516
180	33.2918592
181	33.27938074
182	33.26536549
183	33.25413403
184	33.24487468
185	33.23459121
186	33.22217799
187	33.22101467
188	33.21037357
189	33.20237314
190	33.19003953
191	33.18313423
192	33.16254732
193	33.15337742
194	33.13437152
195	33.12277506
196	33.1056709
197	33.0917875
198	33.08072649
199	33.071383
200	33.05408918
201	33.04271623
202	33.02940188
203	33.02248452
204	33.00772706
205	33.00090898
206	32.98682653
207	32.9740964
208	32.96540842
209	32.95530198
210	32.94611538
211	32.93263886
212	32.91712309
213	32.91224455
214	32.90438723
215	32.8970072
216	32.88522838
217	32.87661479
218	32.86889399
219	32.85747848
220	32.84930919
221	32.84040452
222	32.82859685
223	32.82014881
224	32.81234019
225	32.80632221
226	32.79922393
227	32.78889417
228	32.77752587
229	32.76943346
230	32.76123449
231	32.74755299
232	32.73820711
233	32.73300601
234	32.7192069
235	32.70902786
236	32.70185736
237	32.69219027
238	32.68699992
239	32.68214503
240	32.67526375
241	32.66344017
242	32.65449622
243	32.64923558
244	32.64325352
245	32.63843084
246	32.62815335
247	32.61895959
248	32.60370573
249	32.59934688
250	32.59299678
251	32.58220615
252	32.57393173
253	32.57026041
254	32.56482633
255	32.56071335
256	32.55462172
257	32.55067824
258	32.54593522
259	32.53642183
260	32.52953684
261	32.52673902
262	32.51777068
263	32.51368135
264	32.50940595
265	32.50074199
266	32.4924852
267	32.48582821
268	32.47591728
269	32.46616899
270	32.46014871
271	32.45080313
272	32.44689299
273	32.43917999
274	32.43352768
275	32.4299074
276	32.42666188
277	32.41943563
278	32.40841756
279	32.4038134
280	32.40026027
281	32.39405155
282	32.38751718
283	32.38479137
284	32.37936779
285	32.37612342
286	32.37067983
287	32.36569088
288	32.35731484
289	32.35341291
290	32.34862957
291	32.34227182
292	32.33561338
293	32.33079017
294	32.32471267
295	32.3157362
296	32.31128566
297	32.30498851
298	32.2990452
299	32.29202497
300	32.28883023
301	32.28270955
302	32.27732746
303	32.27152357
304	32.26867888
305	32.26439661
306	32.26093021
307	32.2582821
308	32.25188814
309	32.24863198
310	32.24673696
311	32.24391458
312	32.2403049
313	32.23467227
314	32.22976129
315	32.22386242
316	32.22131492
317	32.21799867
318	32.21073379
319	32.20283159
320	32.19483718
321	32.19123711
322	32.18741317
323	32.18338239
324	32.17801797
325	32.17302619
326	32.16897823
327	32.16416565
328	32.15980334
329	32.15347229
330	32.14974129
331	32.14578796
332	32.13725986
333	32.13191351
334	32.12824077
335	32.11980163
336	32.11454339
337	32.11075653
338	32.10632539
339	32.10372931
340	32.09690944
341	32.09030362
342	32.08798445
343	32.08292338
344	32.07882929
345	32.07287255
346	32.0677472
347	32.06394527
348	32.06072003
349	32.05648998
350	32.04935102
